file	query	events	bytes
af_plugin/AfPluginConfigs.cpp	"""AfPluginConfigs::init() called """	-1	-1
af_plugin/af_plugin.cpp	"""Loading AF Plugin"""	-1	-1
af_plugin/af_plugin.cpp	"""Skipping table creations for af_plugin"""	-1	-1
af_plugin/af_plugin.cpp	"""Creating Active HDX/GW table in af_plugin"""	-1	-1
af_plugin/af_plugin.cpp	"""Dumping coverage for AF Plugin started"""	-1	-1
af_plugin/af_plugin.cpp	"""Dumping coverage for AF Plugin completed"""	-1	-1
af_plugin/af_plugin.cpp	"""GCOV coverage for AF Plugin started"""	-1	-1
af_plugin/af_plugin.cpp	"""GCOV coverage for AF Plugin completed"""	-1	-1
af_plugin/handlers/related_desktop_session_handler.cpp	"""related_desktop_session_handler :: order_by """	-1	-1
af_plugin/handlers/related_desktop_session_handler.cpp	"""related_desktop_session_handler::tabular_report2_obj_finish_callback_handler, uptime is less than interval time,  interval bytes should be equal to total bytes."""	-1	-1
af_plugin/handlers/related_desktop_session_handler.cpp	"""related_desktop_session_handler::tabular_report_obj_finish_callback_handler, uptime is less than interval time,  interval bytes should be equal to total bytes."""	-1	-1
af_plugin/handlers/si_tcp_counter_handler.cpp	"""si_tcp_counter_handler::get_apps_rpt duration_summary """	-1	-1
af_plugin/handlers/vpn_active_sessions_handler.cpp	"""vpn_active_sessions_handler::doPut """	-1	-1
af_plugin/handlers/http_header_handler.cpp	"""AfAnalyticsProcessor::executePutRequest ... resource_type """	-1	-1
af_plugin/handlers/related_ica_session_handler.cpp	"""related_ica_session_handler :: order_by """	-1	-1
af_plugin/handlers/related_ica_session_handler.cpp	"""related_ica_session_handler::tabular_report_obj_finish_callback_handler, uptime is less than interval time,  interval bytes should be equal to total bytes."""	-1	-1
af_plugin/handlers/uri_handler.cpp	"""uri_handler::get_response Invalid table type found. Returning without executing report."""	-1	-1
af_plugin/handlers/uri_handler.cpp	"""uri_handler::doGet order_by is"""	-1	-1
af_plugin/handlers/uri_handler.cpp	"""uri_handler::get_response table_type is"""	-1	-1
af_plugin/handlers/uri_handler.cpp	"""uri_handler::get_response Invalid table type found. Returning without executing report."""	-1	-1
af_plugin/handlers/uri_handler.cpp	"""uri_handler::get_response order_by is"""	-1	-1
af_plugin/handlers/uri_handler.cpp	"""uri_handler::get_response order_by is"""	-1	-1
af_plugin/handlers/uri_handler.cpp	"""uri_handler::report1_obj_finish_callback_handler is_embedded_object : """	-1	-1
af_plugin/handlers/ica_device_session_hop_detail_handler.cpp	"""ica_device_session_hop_detail_handler, ip address is: """	-1	-1
af_plugin/handlers/ica_device_session_hop_detail_handler.cpp	"""Hop object size is greater than 2, please check the objects"""	-1	-1
af_plugin/handlers/ica_device_session_hop_detail_handler.cpp	"""ica_device_session_hop_detail_handler::get_response:1"""	-1	-1
af_plugin/handlers/ica_device_session_hop_detail_handler.cpp	"""ica_device_session_hop_detail_handler::get_response:2"""	-1	-1
af_plugin/handlers/hdx_desktop_session_handler.cpp	"""hdx_desktop_session_handler::tabular_report_obj_finish_callback_handler, uptime is less than interval time,  interval bytes should be equal to total bytes."""	-1	-1
af_plugin/handlers/si_app_unit_handler.cpp	"""si_app_unit_handler::get_response_count duration_summary """	-1	-1
af_plugin/handlers/threshold_breach_count_handler.cpp	"""threshold_breach_count_handler::get_response entity_type """	-1	-1
af_plugin/handlers/threshold_breach_count_handler.cpp	"""threshold_breach_count_handler::get_response:: Fetched the duration information: """	-1	-1
af_plugin/handlers/server_handler.cpp	"""server_handler::get_response_count Invalid table type found. Returning without executing report."""	-1	-1
af_plugin/handlers/server_handler.cpp	"""server_handler::get_response_count order_by is"""	-1	-1
af_plugin/handlers/server_handler.cpp	"""server_handler::get_response table_type is"""	-1	-1
af_plugin/handlers/server_handler.cpp	"""server_handler::get_response Invalid table type found. Returning without executing report."""	-1	-1
af_plugin/handlers/server_handler.cpp	"""server_handler::get_response order_by is"""	-1	-1
af_plugin/handlers/server_handler.cpp	"""server_handler::get_response order_by is"""	-1	-1
af_plugin/handlers/si_safety_system_security_handler.cpp	"""Entered si_safety_system_security_handler::doGet """	-1	-1
af_plugin/handlers/si_safety_system_security_handler.cpp	"""DB Exception si_safety_system_security_handler::doGet """	-1	-1
af_plugin/handlers/tcp_bitrate_handler.cpp	"""tcp_bitrate_handler::doGet: Got report_start_time as """	-1	-1
af_plugin/handlers/tcp_bitrate_handler.cpp	"""tcp_bitrate_handler::doGet: Got report_start_time as """	-1	-1
af_plugin/handlers/tcp_bitrate_handler.cpp	"""DB Exception tcp_bitrate_handler::doGet """	-1	-1
af_plugin/handlers/tcp_bitrate_handler.cpp	"""tcp_bitrate_handler::get_zoom_levels_rpt: After get_table_level_tag call, values tag:"" AND "", start_rpt_time:"" AND "", end_rpt_time:"" AND ""."""	-1	-1
af_plugin/handlers/tcp_bitrate_handler.cpp	"""DB tcp_bitrate_handler::get_zoom_levels_rpt """	-1	-1
af_plugin/handlers/tcp_bitrate_handler.cpp	"""tcp_bitrate_handler::get_trans_count_rpt: After get_table_level_tag call, values tag:"" AND "", start_rpt_time:"" AND "", end_rpt_time:"" AND ""."""	-1	-1
af_plugin/handlers/tcp_bitrate_handler.cpp	"""DB tcp_bitrate_handler::get_trans_count_rpt """	-1	-1
af_plugin/handlers/vpn_error_counts_handler.cpp	"""vpn_error_counts_handler::doGet, Provided message is null, returning ..."""	-1	-1
